Match_id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,Stadium,Location,Highlights_available
8816715,2014,37th Match,2014-05-13,CHENNAI SUPER KINGS vs RAJASTHAN ROYALS,Chennai Super Kings won by 5 wkts,https://www.cricbuzz.com/cricket-scores/13694/csk-vs-rr-37th-match-indian-premier-league-2014,JSCA International Stadium Complex,Ranchi,False
7214885,2014,38th Match,2014-05-13,ROYAL CHALLENGERS BANGALORE vs DELHI CAPITALS,Royal Challengers Bangalore won by 16 runs,https://www.cricbuzz.com/cricket-scores/13695/rcb-vs-dc-38th-match-indian-premier-league-2014,M.Chinnaswamy Stadium,Bengaluru,False
9159202,2014,39th Match,2014-05-14,SUNRISERS HYDERABAD vs KINGS XI PUNJAB,Kings XI Punjab won by 6 wkts,https://www.cricbuzz.com/cricket-scores/13696/srh-vs-kxip-39th-match-indian-premier-league-2014,Rajiv Gandhi International Stadium,Hyderabad,False
5184435,2014,40th Match,2014-05-14,KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS,Kolkata Knight Riders won by 6 wkts,https://www.cricbuzz.com/cricket-scores/13697/kkr-vs-mi-40th-match-indian-premier-league-2014,Barabati Stadium,Cuttack,False
5763286,2014,41st Match,2014-05-15,RAJASTHAN ROYALS vs DELHI CAPITALS,Rajasthan Royals won by 62 runs,https://www.cricbuzz.com/cricket-scores/13698/rr-vs-dc-41st-match-indian-premier-league-2014,Sardar Patel Stadium,Ahmedabad,False
7390893,2014,42nd Match,2014-05-18,CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BANGALORE,Royal Challengers Bangalore won by 5 wkts,https://www.cricbuzz.com/cricket-scores/13699/csk-vs-rcb-42nd-match-indian-premier-league-2014,JSCA International Stadium Complex,Ranchi,False
7407783,2014,43rd Match,2014-05-18,SUNRISERS HYDERABAD vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 7 wkts,https://www.cricbuzz.com/cricket-scores/13700/srh-vs-kkr-43rd-match-indian-premier-league-2014,Rajiv Gandhi International Stadium,Hyderabad,False
3518482,2014,44th Match,2014-05-19,RAJASTHAN ROYALS vs MUMBAI INDIANS,Mumbai Indians won by 25 runs,https://www.cricbuzz.com/cricket-scores/13701/rr-vs-mi-44th-match-indian-premier-league-2014,Sardar Patel Stadium,Ahmedabad,False
6828776,2014,45th Match,2014-05-19,DELHI CAPITALS vs KINGS XI PUNJAB,Kings XI Punjab won by 4 wkts,https://www.cricbuzz.com/cricket-scores/13702/dc-vs-kxip-45th-match-indian-premier-league-2014,Arun Jaitley Stadium,Delhi,False
1265067,2014,46th Match,2014-05-20,SUNRISERS HYDERABAD vs ROYAL CHALLENGERS BANGALORE,Sunrisers Hyderabad won by 7 wkts,https://www.cricbuzz.com/cricket-scores/13703/srh-vs-rcb-46th-match-indian-premier-league-2014,Rajiv Gandhi International Stadium,Hyderabad,False
